set_id,min_date,max_date,time_to_gather_data,tp_sum
1,2011-04-14 06:00:00+00:00,2012-12-31 23:00:00+00:00,0.1602039337158203 seconds,1486386.0
2,2012-12-04 09:00:00+00:00,2015-12-31 21:00:00+00:00,0.1262531280517578 seconds,2457279.0
3,2007-10-29 17:00:00+00:00,2013-12-31 23:50:00+00:00,0.1247720718383789 seconds,601183.48
4,1986-02-01 00:00:00+00:00,1991-12-31 23:00:00+00:00,0.09161782264709473 seconds,736217.3
5,1997-01-01 00:00:00+00:00,2004-12-31 23:00:00+00:00,0.6141941547393799 seconds,620868.96
6,1981-01-01 00:00:00+00:00,1986-03-12 17:00:00+00:00,0.6372349262237549 seconds,77096.19999999998
7,1989-01-01 00:00:00+00:00,1995-12-31 23:00:00+00:00,0.1410980224609375 seconds,413376.0
8,1992-01-01 00:00:00+00:00,1997-12-31 23:00:00+00:00,0.35486268997192383 seconds,68896.37
9,1998-01-01 00:00:00+00:00,2017-12-31 23:50:00+00:00,1.2999138832092285 seconds,8572650.75
10,1993-01-01 00:00:00+00:00,1996-12-31 23:00:00+00:00,1.1043601036071777 seconds,593987.25
11,2006-01-01 00:00:00+00:00,2011-12-31 23:50:00+00:00,0.14361190795898438 seconds,1032011.6799999999
12,2004-01-01 00:00:00+00:00,2014-12-31 23:50:00+00:00,0.5824358463287354 seconds,1059718.6300000001
13,2005-02-23 16:00:00+00:00,2010-12-31 23:00:00+00:00,0.17064690589904785 seconds,2530935.0
14,2004-01-01 00:00:00+00:00,2018-12-21 06:50:00+00:00,0.40782594680786133 seconds,5676871.750000001
15,2006-01-01 01:00:00+00:00,2013-12-31 21:00:00+00:00,0.18733525276184082 seconds,4098961.0
16,2017-01-01 00:08:00+00:00,2020-12-31 23:08:00+00:00,0.14573383331298828 seconds,3401541.0
17,2006-07-06 21:00:00+00:00,2014-12-31 23:50:00+00:00,0.17132782936096191 seconds,2633701.5799999996
18,2016-01-01 00:08:00+00:00,2020-12-31 23:08:00+00:00,0.15898966789245605 seconds,4250862.0
19,2013-01-01 00:00:00+00:00,2019-12-31 23:08:00+00:00,0.21521472930908203 seconds,8054343.0
20,2005-05-30 17:00:00+00:00,2010-12-31 23:50:00+00:00,0.4357948303222656 seconds,443948.08999999997
21,2005-05-28 15:00:00+00:00,2015-12-31 23:50:00+00:00,0.32795286178588867 seconds,1057839.71
22,2010-01-01 00:50:00+00:00,2016-12-31 23:50:00+00:00,0.5422039031982422 seconds,3351424.5599999996
23,2011-01-01 00:50:00+00:00,2012-12-31 23:50:00+00:00,0.49169421195983887 seconds,201038.16
24,2010-01-01 00:50:00+00:00,2020-12-31 23:50:00+00:00,0.5210051536560059 seconds,20942835.91
25,2012-01-01 00:50:00+00:00,2016-12-31 23:50:00+00:00,0.5009710788726807 seconds,3266054.97
26,2014-01-01 00:50:00+00:00,2019-12-31 23:50:00+00:00,0.44084620475769043 seconds,10061718.82
27,2009-05-14 16:50:00+00:00,2010-12-31 23:50:00+00:00,0.393779993057251 seconds,137944.58000000002
28,2014-01-01 00:00:00+00:00,2019-12-31 23:50:00+00:00,0.716134786605835 seconds,22690783.400000002
29,2011-01-01 00:00:00+00:00,2017-12-31 23:50:00+00:00,0.7598521709442139 seconds,27137697.599999994
30,2014-03-14 17:40:00+00:00,2016-12-31 23:59:00+00:00,0.3494760990142822 seconds,335465.46
31,2008-01-01 00:00:00+00:00,2012-12-31 23:53:00+00:00,0.36005091667175293 seconds,667483.45
32,2010-01-06 17:51:00+00:00,2013-12-31 23:10:00+00:00,0.3519270420074463 seconds,526716.82
33,2006-10-04 00:00:00+00:00,2019-12-31 23:30:00+00:00,0.3552708625793457 seconds,1886431.61
34,2013-01-01 05:54:00+00:00,2014-12-31 23:34:00+00:00,0.24344205856323242 seconds,217244.03
35,1985-01-01 00:00:00+00:00,1996-12-31 23:00:00+00:00,0.664618968963623 seconds,824205.18
36,1995-01-01 00:00:00+00:00,2011-12-31 23:50:00+00:00,0.6413660049438477 seconds,1487526.35
37,2005-01-01 00:00:00+00:00,2017-06-22 13:10:00+00:00,0.7242989540100098 seconds,1933665.4099999997
38,1988-01-01 00:00:00+00:00,2002-12-31 23:00:00+00:00,1.4122447967529297 seconds,5747899.909999999
39,,,0.9577662944793701 seconds,0.0
40,2008-08-07 19:20:00+00:00,2012-12-21 18:40:00+00:00,0.6493837833404541 seconds,8606565.0
41,1991-01-01 00:00:00+00:00,2019-12-31 23:50:00+00:00,1.5174591541290283 seconds,6522807.25
42,1990-05-24 16:00:00+00:00,2013-12-31 23:50:00+00:00,0.8447890281677246 seconds,2272384.09
43,2006-01-06 14:00:00+00:00,2020-12-31 23:30:00+00:00,0.2918379306793213 seconds,12501126.0
44,2004-07-01 00:00:00+00:00,2010-06-18 01:30:00+00:00,0.2970089912414551 seconds,3240666.0
45,1997-01-01 00:00:00+00:00,2002-12-31 23:00:00+00:00,0.6664679050445557 seconds,496908.66000000003
46,2000-01-01 01:00:00+00:00,2019-12-31 23:50:00+00:00,0.5694808959960938 seconds,4320674.420000001
47,2012-01-01 00:50:00+00:00,2019-12-31 23:50:00+00:00,0.5162510871887207 seconds,2876426.69
48,2012-01-01 00:50:00+00:00,2018-12-31 23:50:00+00:00,0.6850292682647705 seconds,12753192.229999999
49,2004-01-01 00:00:00+00:00,2016-12-18 14:00:00+00:00,0.2354891300201416 seconds,11646855.0
50,2012-01-01 10:00:00+00:00,2014-05-31 15:30:00+00:00,0.1327981948852539 seconds,2448072.0
51,2014-01-16 09:00:00+00:00,2017-12-31 23:30:00+00:00,0.30338096618652344 seconds,3590433.0
52,2007-03-22 17:00:00+00:00,2014-12-31 23:30:00+00:00,0.24741792678833008 seconds,9295407.0
53,2008-07-14 16:00:00+00:00,2010-12-31 23:30:00+00:00,0.22972893714904785 seconds,2930400.0
54,2006-01-01 00:00:00+00:00,2014-12-31 23:50:00+00:00,0.4723470211029053 seconds,1226548.08
55,2013-01-01 00:50:00+00:00,2020-12-31 23:50:00+00:00,0.5480990409851074 seconds,17956309.16
56,2011-01-01 00:50:00+00:00,2018-12-31 23:50:00+00:00,0.4086771011352539 seconds,7591485.17
57,2005-06-08 10:00:00+00:00,2013-12-31 23:50:00+00:00,0.35831379890441895 seconds,1194179.04
58,2013-01-01 00:50:00+00:00,2017-12-31 23:50:00+00:00,0.4568047523498535 seconds,7306020.620000001
